"Sukunimi","Yhteensä"
"Pussinen",775
"Koivuranta",773
"Maunula",772
"Rutanen",772
"Suojanen",771
"Lötjönen",770
"Puska",770
"Illikainen",769
"Nivala",769
"Tanner",769
"Uitto",769
"Hagert",768
"Taavitsainen",768
"Hakonen",767
"Pohjalainen",767
"Kunnas",766
"Tuisku",766
"Laukka",765
"Varonen",765
"Sorri",764
"Reinikka",763
"Hakamäki",762
"Saarnio",760
"Visuri",760
"Grönberg",759
"Rantalainen",759
"Järvensivu",757
"Kurikka",757
"Riipinen",757
"Huhtamäki",755
"Myöhänen",754
"Tapaninen",754
"Karhula",752
"Sievänen",752
"Fagerlund",751
"Korkeamäki",751
"Rainio",751
"Ylimäki",751
"Pesola",750
"Tammisto",750
"Torniainen",750
"Tuohimaa",750
"Rastas",749
"Kantanen",748
"Valjakka",748
"Käkelä",746
"Mehtonen",746
"Pekkola",745
"Poikela",745
"Ahlfors",744
"Kiljunen",744
"Olin",744
"Pekonen",743
"Grönqvist",742
"Julin",740
"Roine",740
"Muikku",738
"Viita",737
"Fagerholm",736
"Nyqvist",735
"Juopperi",734
"Kiviharju",734
"Vesalainen",734
"Lindstedt",733
"Muukkonen",733
"Finnilä",732
"Koivistoinen",732
"Jormanainen",731
"Särkelä",730
"Vehmas",729
"Eerikäinen",728
"Kostamo",728
"Österman",728
"Dahlström",727
"Peippo",727
"Kvist",725
"Luhtala",725
"Äikäs",725
"Issakainen",723
"Marin",722
"Engblom",720
"Leminen",718
"Rasi",717
"Niittymäki",716
"Saarikko",715
"Kaskinen",714
"Korte",714
"Malmström",714
"Valta",714
"Piiparinen",713
"Kuutti",712
"Pajala",712
"Tiittanen",711
"Törrönen",711
"Litmanen",710
"Långström",710
"Hautaniemi",709
"Paju",709
"Sipiläinen",709
"Lipsanen",708
"Jokitalo",707
"Levänen",707
"Hyrkäs",706
"Raita",706
"Grönfors",705
"Kuula",705
"Mantila",705
"Pihlajaniemi",704
"Vilenius",704
"Sihvola",703
"Forsblom",702
"Lumme",702
"Nupponen",702
"Willman",702
"Koskimäki",701
"Takanen",700
"Boström",699
"Kilponen",698
"Rämä",698
"Laurén",697
"Teräväinen",697
"Luotonen",696
"Löppönen",695
"Haaranen",694
"Kylliäinen",693
"Kymäläinen",693
"Kupari",692
"Turkki",691
"Poikolainen",690
"Konttila",689
"Puisto",689
"Pääkkö",689
"Sundman",689
"Valkeapää",687
"Vilkman",687
"Tammelin",686
"Sepponen",685
"Viinamäki",685
"Luttinen",684
"Multanen",684
"Roth",684
"Vuoristo",684
"Korva",683
"Englund",682
"Jokiniemi",682
"Talja",682
"Sopanen",681
"Ikola",680
"Metsola",680
"Tainio",680
