"Etunimi","Lukumäärä"
"Pepita",166
"Sara-Sofia",166
"Ann-Maj",165
"Eevastiina",165
"Raija-Leena",165
"Britt-Mari",164
"Eleanora",164
"Nilla",164
"Ellida",163
"Henna-Maria",163
"Lisette",163
"Marinka",163
"Onneli",163
"Abdirahman",161
"Kata",161
"Leia",161
"Sanna-Liisa",161
"Irinja",160
"Mia-Maria",160
"Anna-Stina",159
"Dana",159
"Friida",159
"Niia",159
"Oksana",159
"Safia",159
"Sivi",159
"Janessa",158
"Marilla",158
"Aletta",157
"Helén",157
"Kaisa-Maria",157
"Miia-Maria",157
"Miitta",157
"Pulmu",157
"Leah",156
"Luisa",156
"Pirjo-Leena",156
"Zainab",156
"Fiina",155
"Gisela",155
"Virginia",155
"Anna-Elina",154
"Leyla",154
"Lillian",154
"Pälvi",154
"Arina",153
"Isadora",153
"Louisa",153
"Marikka",153
"Mirette",153
"Aino-Kaisa",152
"Eva-Liisa",152
"Kiara",152
"Menni",152
"Salla-Maria",152
"Alena",151
"Inez",151
"Katrine",151
"Laura-Maria",151
"Merika",151
"Milla-Maria",151
"Nur",151
"Cesilia",150
"Emili",150
"Nikita",150
"Adalia",149
"Alida",149
"Christiina",149
"Darja",149
"Elice",149
"Linne",149
"Marjaliisa",149
"Ragni",149
"Tarja-Liisa",149
"Anceliga",148
"Janiina",148
"Jannina",148
"Jenni-Maria",148
"Nelma",148
"Selene",148
"Taiga",148
"Tiia-Mari",148
"Ilana",147
"Iman",147
"Juni",147
"Marttiina",147
"Albertiina",146
"Anna-Reetta",146
"Cilla",146
"Enja",146
"Mikontytär",146
"Moonika",146
"Renja",146
"Dorothea",145
"Emeliina",145
"Nina-Maria",145
"Saara-Maria",145
"Therése",145
"Inge",144
"Jennina",144
"Anisa",143
"Antoinette",143
"Daisy",143
"Farah",143
"Hanne-Mari",143
"Iréne",143
"Milda",143
"Xenia",143
"Adeline",142
"Anna-Kristiina",142
"Ann-Lis",142
"Enne",142
"Manuela",142
"Marielle",142
"Noelle",142
"Tiina-Maija",142
"Tilma",142
"Annelie",141
"Hedda",141
"Liisa-Maria",141
"Dorrit",140
"Ewa",140
"Leena-Kaisa",140
"Safira",140
"Suzanne",140
"Alinda",139
"Celia",139
"Eimi",139
"Hilkka-Liisa",139
"Natalja",139
"Senna",139
"Ulla-Maria",139
"Alyssa",138
"Danielle",138
"Evgenia",138
"Lee",138
"Nadine",138
"Tyra",138
"Lynn",137
"Marja-Sisko",137
"Mianna",137
"Paloma",137
"Peppina",137
"Gloria",136
"Hildur",136
"Iida-Sofia",136
"Mari-Ann",136
"Rafaela",136
"Abdulkadir",135
"Alvina",135
"Anna-Emilia",135
"Dora",135
"Kaur",135
"Madelene",135
"Oxana",135
"Yusuf",135
"Juhantytär",134
"Paju",134
"Suometar",134
"Vienna",134
"Anna-Marja",133
"Hong",133
"Paola",133
"Tuike",133
"Gun-Maj",132
"Inge-Maj",132
"Lauha",132
"Linh",132
"Mari-Anna",132
"Marjetta",132
"Marlena",132
"Riikka-Liisa",132
"Timontytär",132
"Amal",131
"Eeva-Marja",131
"Irena",131
"Lulu",131
"Ona",131
"Aline",130
"Liubov",130
"Nonna",130
"Annariina",129
"Kate",129
"Linea",129
"Runa",129
"Sera",129
"Ulla-Maj",129
"Elif",128
"Engla",128
"Seija-Liisa",128
"Suvi-Maria",128
"Emiilia",127
"Khadija",127
"Linda-Maria",127
"Majvor",127
"Mareena",127
"Nona",127
"Sarina",127
"Satu-Maria",127
"Carolin",126
"Fransiina",126
"Greetta",126
"Kitty",126
"Maud",126
"Nanette",126
"Zara",126
"Jemiina",125
"Lumikukka",125
"Maarita",125
"Oosa",125
"Pirre",125
"Aniita",124
"Noor",124
"Sahra",124
"Tiina-Maria",124
"Ann-Katrin",123
"Ludmila",123
"Eela",122
"Elinor",122
"Rhea",122
"Celeste",121
"Claire",121
"Eea",121
"Marlen",121
"Nitta",121
"Ringa",121
"Ritva-Leena",121
"Sharon",121
"Vendela",121
"Ainu",120
